Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
S0001,4.6,4.8,8.1,3.6,0.8,4.0,Medium
S0002,6.9,0.4,10.0,5.2,0.9,3.8,Medium
S0003,3.4,1.3,6.1,3.2,1.4,4.0,Low
S0004,3.1,1.6,6.4,2.9,2.4,3.54,Low
S0005,3.6,2.4,7.4,0.9,1.8,4.0,Low
S0006,2.8,3.1,6.8,1.4,1.5,2.78,Low
S0007,2.1,4.4,5.9,4.0,1.1,3.13,Medium
S0008,3.5,5.1,8.3,6.3,2.9,4.0,Medium
S0009,6.1,4.5,4.7,1.8,0.4,2.6,High
S0010,4.0,3.8,6.4,2.1,1.7,3.53,Low
S0011,3.2,3.7,4.5,7.2,2.3,3.17,Medium
S0012,7.1,3.5,4.5,2.5,0.7,2.47,High
S0013,8.5,2.8,6.3,1.0,1.1,3.65,Low
S0014,6.4,4.3,6.9,1.4,2.1,3.73,Low
S0015,7.4,2.6,8.3,3.1,1.6,3.48,Low
S0016,2.9,0.5,7.6,2.3,1.6,2.98,Low
S0017,9.1,1.5,6.6,4.6,1.0,3.04,Medium
S0018,3.3,4.6,8.5,3.8,2.8,4.0,Low
S0019,7.8,1.3,9.1,3.3,2.5,3.01,Low
S0020,2.9,1.4,6.7,5.0,2.7,2.5,Low
S0021,1.5,2.4,6.7,1.9,0.7,1.84,Low
S0022,4.3,2.4,7.9,2.5,3.4,4.0,Low
S0023,10.2,1.5,7.0,2.2,1.1,3.83,Medium
S0024,5.4,0.7,6.0,5.9,1.0,3.67,Low
S0025,3.2,2.3,10.3,2.0,2.0,3.77,Low
S0026,7.1,1.9,7.6,3.8,1.6,3.83,Low
S0027,2.7,3.9,6.2,1.7,0.4,2.71,Low
S0028,1.7,2.4,5.7,3.9,0.8,1.76,Medium
S0029,6.8,1.9,9.6,1.5,1.2,3.89,Low
S0030,6.5,3.8,7.2,3.2,1.0,4.0,Low
S0031,2.8,4.3,9.2,3.8,1.2,2.69,Medium
S0032,9.0,4.3,8.3,3.9,0.6,3.04,Medium
S0033,3.3,4.3,7.5,0.4,0.6,4.0,Medium
S0034,6.8,2.9,5.7,4.3,1.0,3.43,Medium
S0035,4.3,3.4,7.7,5.3,2.0,4.0,Low
S0036,4.5,1.5,5.8,6.9,1.3,3.84,Medium
S0037,8.9,2.8,8.4,3.1,1.7,3.18,Low
S0038,7.1,1.6,3.9,3.9,0.8,1.99,High
S0039,9.7,4.9,9.3,2.5,0.2,2.96,High
S0040,10.3,5.0,8.8,2.2,1.3,3.52,High
S0041,8.4,1.7,5.3,3.4,3.1,3.29,Medium
S0042,2.8,2.8,10.4,1.5,1.6,3.03,Low
S0043,8.7,3.4,7.9,4.2,1.2,3.87,Low
S0044,7.9,4.1,9.3,3.2,1.6,2.92,Medium
S0045,7.8,2.9,7.9,4.9,2.9,3.25,Low
S0046,2.8,2.6,4.1,2.9,1.7,1.25,Medium
S0047,4.1,2.7,4.0,0.8,2.5,2.73,Medium
S0048,5.5,3.5,5.6,3.7,0.6,3.4,Medium
S0049,2.3,2.4,7.2,3.8,2.2,2.8,Low
S0050,4.3,3.6,5.9,2.8,0.6,3.83,Medium
S0051,1.9,5.0,8.7,4.2,1.3,1.7,Medium
S0052,3.9,2.5,8.0,4.0,1.1,4.0,Low
S0053,10.0,3.3,7.2,3.7,1.4,3.38,Medium
S0054,7.4,0.4,4.9,0.9,0.4,1.62,High
S0055,8.4,3.2,6.9,1.3,1.5,2.91,Low
S0056,4.9,2.0,7.5,3.8,0.4,3.97,Low
S0057,4.6,2.8,7.0,5.4,2.0,4.0,Low
S0058,6.0,4.7,7.3,2.6,1.9,4.0,Low
S0059,5.1,2.5,9.6,2.6,3.3,3.85,Low
S0060,4.3,4.0,3.9,5.0,1.1,3.06,Medium
S0061,3.0,3.1,7.6,5.6,2.2,4.0,Low
S0062,3.4,3.4,8.5,7.3,1.3,4.0,Low
S0063,4.6,3.5,6.3,6.2,2.7,4.0,Low
S0064,7.4,1.0,9.2,3.1,2.6,2.97,Low
S0065,4.3,4.3,6.5,0.4,2.9,3.72,Medium
S0066,9.9,4.8,7.3,3.8,1.4,3.42,High
S0067,4.1,1.7,7.8,4.6,2.4,4.0,Low
S0068,5.7,2.1,9.1,2.4,0.7,3.7,Low
S0069,3.2,3.5,7.5,1.3,0.6,4.0,Low
S0070,8.0,3.2,4.6,1.2,3.6,2.56,Medium
S0071,4.6,1.9,8.6,6.4,3.6,3.6,Low
S0072,2.7,3.5,7.2,2.7,2.9,3.41,Low
S0073,2.9,2.3,3.6,2.9,0.5,1.78,Medium
S0074,5.9,5.0,6.5,2.1,2.7,4.0,Low
S0075,3.7,5.0,3.6,6.8,0.4,2.72,High
S0076,11.2,0.8,7.2,6.8,1.6,3.9,Medium
S0077,6.3,3.1,6.8,3.8,1.8,3.77,Low
S0078,6.2,1.6,5.5,2.9,1.2,4.0,Medium
S0079,5.9,0.8,10.1,7.2,2.1,3.23,Low
S0080,8.0,3.1,5.3,5.9,2.5,3.21,Medium
S0081,9.9,3.3,7.5,2.7,3.1,3.78,Medium
S0082,7.9,5.4,5.2,3.6,1.3,3.02,High
S0083,10.4,3.9,8.7,2.9,1.4,3.27,Medium
S0084,8.5,3.8,10.9,7.6,1.7,3.08,Medium
S0085,7.5,4.8,8.8,2.0,1.4,2.89,Medium
S0086,6.6,2.8,6.4,1.3,2.0,4.0,Low
S0087,5.5,3.5,7.1,5.3,1.7,4.0,Low
S0088,4.8,1.1,4.0,4.6,1.9,3.05,Medium
S0089,6.9,1.4,5.1,0.5,1.2,3.28,Medium
S0090,5.0,4.4,6.3,3.2,2.4,4.0,Low
S0091,4.7,2.8,8.9,6.4,0.8,3.5,Low
S0092,3.9,2.2,10.2,3.1,1.2,4.0,Low
S0093,6.3,1.5,4.6,1.4,0.7,2.57,Medium
S0094,4.4,4.3,6.9,4.0,0.8,3.65,Medium
S0095,3.5,0.6,5.3,2.1,0.8,3.27,Medium
S0096,4.5,2.3,7.9,0.8,2.4,4.0,Low
S0097,6.3,0.9,9.0,6.1,0.5,3.76,Low
S0098,7.3,1.3,5.6,2.5,1.5,3.11,Medium
S0099,6.2,1.9,6.8,4.5,0.4,3.76,Low
S0100,9.0,2.4,7.1,1.3,1.4,3.5,Low
S0101,5.6,1.5,5.9,2.5,0.3,3.38,Medium
S0102,4.3,1.0,9.1,3.6,2.0,3.6,Low
S0103,7.7,2.3,4.7,3.3,1.8,2.17,High
S0104,3.1,1.6,6.4,3.9,1.7,4.0,Low
S0105,4.5,5.4,7.4,1.9,0.6,4.0,Medium
S0106,3.3,1.3,6.0,1.7,2.9,3.81,Low
S0107,2.6,2.4,6.6,7.1,0.7,2.12,Low
S0108,8.6,3.8,5.9,1.7,2.0,3.27,Medium
S0109,9.5,2.5,7.3,2.1,2.3,3.63,Medium
S0110,4.9,2.4,5.8,1.4,1.8,3.7,Low
S0111,4.1,2.6,5.2,3.0,1.6,3.96,Low
S0112,3.1,0.8,10.4,2.3,2.5,3.88,Low
S0113,3.9,3.1,8.2,3.6,1.5,3.77,Low
S0114,9.5,3.9,9.9,1.4,2.2,2.99,Medium
S0115,9.7,1.3,4.5,4.5,1.7,2.26,High
S0116,7.8,1.3,5.3,1.6,2.5,3.33,Medium
S0117,6.6,2.4,6.4,5.6,1.3,3.72,Low
S0118,4.6,2.2,6.1,4.5,1.6,4.0,Low
S0119,3.8,4.4,6.5,3.3,2.9,3.53,Low
S0120,9.7,2.8,6.3,1.5,2.4,3.39,Medium
S0121,6.2,2.5,9.2,4.8,0.8,3.17,Low
S0122,7.3,0.5,7.3,4.6,2.8,3.35,Low
S0123,4.4,3.8,4.9,5.3,0.7,3.09,Medium
S0124,3.2,1.4,8.0,4.3,1.9,4.0,Low
S0125,6.8,2.5,5.8,2.4,0.9,3.75,Medium
S0126,4.7,2.2,9.7,1.6,1.8,4.0,Low
S0127,5.4,2.8,3.8,5.5,3.1,3.53,Medium
S0128,9.4,3.2,5.2,3.5,1.8,3.28,Medium
